iter	Passed	Remaining
0	152	152538
1	154	77229
2	156	52153
3	158	39506
4	160	31906
5	162	26875
6	164	23280
7	165	20562
8	169	18710
9	171	16980
10	173	15562
11	174	14381
12	176	13392
13	178	12540
14	179	11809
15	181	11166
16	185	10752
17	188	10303
18	191	9897
19	194	9553
20	196	9164
21	200	8903
22	202	8582
23	203	8287
24	205	8028
25	207	7768
26	209	7537
27	210	7315
28	212	7113
29	216	6993
30	217	6809
31	219	6649
32	221	6493
33	223	6339
34	224	6195
35	226	6057
36	227	5930
37	231	5864
38	233	5762
39	235	5651
40	237	5543
41	238	5440
42	240	5341
43	241	5247
44	243	5162
45	247	5123
46	248	5041
47	250	4959
48	251	4882
49	253	4814
50	254	4744
51	256	4678
52	258	4613
53	262	4591
54	263	4527
55	264	4466
56	266	4406
57	267	4348
58	269	4290
59	270	4234
60	271	4180
61	272	4129
62	276	4113
63	278	4076
64	280	4041
65	283	4006
66	285	3974
67	291	3999
68	293	3957
69	294	3915
70	297	3893
71	298	3853
72	300	3816
73	301	3778
74	303	3749
75	312	3794
76	316	3788
77	321	3798
78	323	3769
79	325	3741
80	327	3717
81	329	3689
82	330	3652
83	332	3628
84	336	3626
85	338	3601
86	340	3577
87	342	3553
88	345	3531
89	347	3513
90	354	3537
91	356	3516
92	357	3489
93	359	3463
94	360	3436
95	366	3455
96	368	3431
97	370	3408
98	371	3384
99	373	3360
100	374	3336
101	376	3313
102	377	3288
103	379	3265
104	383	3265
105	384	3243
106	386	3221
107	387	3200
108	390	3190
109	398	3227
110	407	3265
111	425	3375
112	429	3371
113	431	3352
114	432	3330
115	434	3308
116	435	3285
117	436	3266
118	438	3244
119	439	3223
120	440	3203
121	444	3198
122	446	3182
123	448	3166
124	449	3147
125	451	3128
126	452	3110
127	453	3091
128	455	3072
129	456	3055
130	461	3062
131	463	3046
132	464	3028
133	466	3011
134	467	2995
135	469	2981
136	470	2964
137	471	2947
138	476	2950
139	478	2938
140	479	2922
141	480	2904
142	482	2889
143	483	2874
144	484	2858
145	486	2843
146	489	2840
147	491	2829
148	492	2814
149	494	2801
150	495	2786
151	496	2772
152	498	2758
153	499	2743
154	500	2730
155	502	2716
156	504	2707
157	505	2694
158	506	2680
159	508	2667
160	509	2652
161	510	2640
162	511	2627
163	513	2615
164	514	2603
165	518	2605
166	519	2592
167	521	2580
168	522	2569
169	523	2557
170	525	2545
171	526	2534
172	527	2522
173	529	2511
174	532	2510
175	534	2501
176	536	2492
177	537	2481
178	538	2471
179	541	2464
180	542	2454
181	543	2444
182	547	2443
183	548	2434
184	550	2425
185	552	2416
186	554	2409
187	555	2398
188	556	2388
189	558	2378
190	559	2369
191	562	2368
192	564	2360
193	566	2352
194	567	2343
195	569	2335
196	570	2327
197	572	2318
198	573	2310
199	577	2308
200	578	2299
201	579	2289
202	580	2280
203	582	2271
204	583	2262
205	584	2253
206	585	2244
207	587	2236
208	588	2228
209	592	2227
210	593	2219
211	594	2210
212	595	2202
213	597	2193
214	598	2185
215	599	2177
216	601	2170
217	602	2162
218	604	2154
219	607	2152
220	608	2145
221	609	2137
222	611	2129
223	612	2121
224	613	2113
225	614	2105
226	616	2100
227	618	2093
228	619	2085
229	622	2085
230	624	2078
231	625	2070
232	626	2063
233	628	2056
234	629	2048
235	630	2041
236	631	2034
237	633	2026
238	634	2019
239	637	2019
240	638	2012
241	640	2005
242	641	1997
243	642	1990
244	643	1984
245	645	1978
246	646	1971
247	647	1964
248	649	1958
249	652	1957
250	654	1952
251	655	1946
252	657	1940
253	658	1935
254	660	1930
255	662	1924
256	663	1918
257	664	1912
258	668	1911
259	669	1904
260	670	1898
261	671	1892
262	673	1886
263	674	1880
264	675	1873
265	676	1867
266	678	1861
267	679	1855
268	682	1855
269	684	1849
270	685	1843
